Tiempo Radixsort,Tiempo Quicksort
31100,2500
25800,1700
24100,700
23300,800
23200,700
23800,900
23600,800
23000,800
23500,800
23500,800
23500,800
23600,800
24000,700
23900,900
23500,700
23300,800
23400,700
22800,800
22700,900
22300,800
23000,700
22700,900
22600,800
22900,800
23100,700
22700,700
23200,800
23400,800
23200,800
23300,900
23100,700
22700,800
23200,700
22600,800
22800,800
23100,800
22800,700
22600,700
23100,900
23100,700
22700,800
22400,900
24500,1500
33900,700
23200,1000
22900,900
22800,700
23300,800
22600,800
23100,700
23200,800
23400,700
27400,2200
22900,900
22900,800
23000,800
22800,700
22600,700
23000,700
23300,700
23400,800
23100,800
22600,800
24800,800
22800,900
23300,800
23000,800
23100,800
22800,700
23100,900
22700,800
23300,700
22200,800
23200,800
22800,800
22700,900
23000,800
22700,700
23000,800
22900,700
23200,700
22200,700
23400,1000
23400,900
22900,700
23100,800
23100,800
23400,700
23000,900
22800,800
22800,800
22800,700
23300,800
23200,700
23000,900
22900,900
22500,700
22600,700
22900,700
23400,900
